,Age,Sex,experiment_version
0,26,Female,1
1,26,Female,1
2,34,Female,1
3,DATA_EXPIRED,DATA_EXPIRED,1
4,CONSENT_REVOKED,CONSENT_REVOKED,1
5,38,Male,1
6,27,Male,1
7,22,Female,1
8,29,Female,1
9,CONSENT_REVOKED,CONSENT_REVOKED,1
10,24,Male,1
11,22,Female,1
12,DATA_EXPIRED,Female,1
13,38,Female,1
14,CONSENT_REVOKED,CONSENT_REVOKED,1
15,24,Male,1
16,CONSENT_REVOKED,CONSENT_REVOKED,1
17,22,Male,1
18,42,Male,1
19,47,Female,1
20,21,Female,1
21,24,Female,1
22,30,Female,1
23,CONSENT_REVOKED,CONSENT_REVOKED,1
24,26,Female,1
25,CONSENT_REVOKED,CONSENT_REVOKED,1
26,21,Male,1
27,20,Male,1
28,23,Female,1
29,21,Female,1
30,33,Male,1
31,CONSENT_REVOKED,CONSENT_REVOKED,1
32,31,Female,1
33,28,Male,1
34,24,Male,1
35,CONSENT_REVOKED,CONSENT_REVOKED,1
36,30,Female,1
37,20,Female,1
38,25,Female,1
39,21,Female,1
40,CONSENT_REVOKED,CONSENT_REVOKED,1
41,CONSENT_REVOKED,CONSENT_REVOKED,1
42,22,Female,1
43,35,Female,1
44,25,Female,1
45,46,Female,1
46,DATA_EXPIRED,DATA_EXPIRED,1
47,22,Female,1
48,31,Male,1
49,CONSENT_REVOKED,CONSENT_REVOKED,1
50,CONSENT_REVOKED,CONSENT_REVOKED,1
51,30,Male,1
52,22,Male,1
53,49,Female,1
54,70,Female,1
55,23,Male,1
56,21,Male,1
57,26,Female,1
58,22,Male,1
59,CONSENT_REVOKED,CONSENT_REVOKED,1
60,21,Male,1
61,25,Male,1
62,32,Male,1
63,29,Male,1
64,CONSENT_REVOKED,CONSENT_REVOKED,1
65,22,Female,1
66,28,Male,1
67,18,Male,1
68,23,Male,1
